"ano","time"
1971,"ATLÉTICO-MG"
1972,"PALMEIRAS"
1973,"PALMEIRAS"
1974,"VASCO"
1975,"INTERNACIONAL"
1976,"INTERNACIONAL"
1977,"SÃO PAULO"
1978,"GUARANI"
1979,"INTERNACIONAL"
1980,"FLAMENGO"
1981,"GRÊMIO"
1982,"FLAMENGO"
1983,"FLAMENGO"
1984,"FLUMINENSE"
1985,"CORITIBA"
1986,"SÃO PAULO"
1987,"SPORT"
1988,"BAHIA"
1989,"VASCO"
1990,"CORINTHIANS"
1991,"SÃO PAULO"
1992,"FLAMENGO"
1993,"PALMEIRAS"
1994,"PALMEIRAS"
1995,"BOTAFOGO"
1996,"GRÊMIO"
1997,"VASCO"
1998,"CORINTHIANS"
1999,"CORINTHIANS"
2000,"VASCO"
2001,"ATLÉTICO-PR"
2002,"SANTOS"
2003,"CRUZEIRO"
2004,"SANTOS"
2005,"CORINTHIANS"
2006,"SÃO PAULO"
2007,"SÃO PAULO"
2008,"SÃO PAULO"
2009,"FLAMENGO"
2010,"FLUMINENSE"
2011,"CORINTHIANS"
2012,"FLUMINENSE"
2013,"CRUZEIRO"
2014,"CRUZEIRO"
2015,"CORINTHIANS"
